Segment,Asset,NetMean,ToMean,FromMean
1,PBW,4.550649497282902,43.1620397010929,38.611390203810004
1,Crude_Oil,2.4024605574799196,27.374297584524722,24.9718370270448
1,S&P_500,1.7851657667798682,37.287810431603425,35.50264466482356
1,IEF,-0.07023817431070171,6.204632268768774,6.274870443079476
1,Natural_Gas,-1.3998711828161958,14.743297282820821,16.14316846563702
1,Wheat,-1.51648934675456,5.161098399688032,6.677587746442592
1,Gold,-5.751677117661228,18.751333695234557,24.503010812895788
2,Crude_Oil,6.4614478517072484,33.57739338856176,27.11594553685452
2,PBW,3.332706404601645,50.379309401214556,47.046602996612904
2,Gold,1.6192455533303982,27.182109631574658,25.56286407824426
2,S&P_500,1.5555499091631992,52.19816666146258,50.64261675229939
2,Natural_Gas,-2.2484818110677103,10.839074230920207,13.087556041987916
2,Wheat,-2.2681765671772096,7.263400682791617,9.531577249968826
2,IEF,-8.452291340557581,30.09636157063191,38.54865291118949
3,S&P_500,13.003116236511003,70.54942802160198,57.546311785090964
3,PBW,8.161100623730391,63.89877798149789,55.737677357767495
3,Crude_Oil,1.8958212503599534,48.8695670649624,46.97374581460245
3,Natural_Gas,-4.167353120526213,9.25361631818188,13.420969438708095
3,Wheat,-5.188702044628971,19.293328237753066,24.482030282382038
3,Gold,-6.168667824804596,17.085645053640427,23.254312878445024
3,IEF,-7.535315120641565,32.640933159543614,40.17624828018518
4,S&P_500,4.844662797998044,46.115787112759136,41.27112431476108
4,PBW,2.5350733161895875,42.414749444244926,39.879676128055344
4,Natural_Gas,0.011549311446289639,6.134063640787674,6.122514329341384
4,Crude_Oil,-1.01090465274982,19.177761809703536,20.18866646245335
4,Wheat,-1.8682591416013157,4.806447749772868,6.674706891374184
4,IEF,-2.094437292891777,19.92089164379175,22.01532893668353
4,Gold,-2.4176843383910183,12.730255186460347,15.147939524851365
5,S&P_500,8.029715753210253,55.16709868786589,47.13738293465563
5,PBW,4.036364508057882,50.23521107995122,46.19884657189334
5,IEF,0.15652422231753907,36.83431088766949,36.67778666535195
5,Wheat,-2.0170021190722576,4.384610384590483,6.401612503662741
5,Natural_Gas,-2.3122327794313735,3.025386088221933,5.3376188676533065
5,Crude_Oil,-3.470879121307717,30.07740291039765,33.54828203170537
5,Gold,-4.4224904637743245,17.536906796130513,21.959397259904843
6,S&P_500,5.502261712642825,47.04678686016534,41.54452514752251
6,PBW,3.0986820964565744,41.88477043634729,38.7860883398907
6,IEF,-0.8229616482423467,26.385756328484113,27.20871797672646
6,Gold,-0.9296767247159132,16.947178794881395,17.876855519597314
6,Natural_Gas,-1.3236223680524803,3.919109390522069,5.24273175857455
6,Wheat,-1.915178301373789,4.105394012124151,6.020572313497942
6,Crude_Oil,-3.609504766714868,14.23671039583016,17.846215162545025
7,S&P_500,13.302571025704593,63.49375475213747,50.19118372643287
7,PBW,3.7279025974665037,54.045718117902545,50.317815520436035
7,IEF,0.313978664533273,38.63939439449193,38.32541572995866
7,Wheat,-2.5549881786643063,4.866380237867661,7.421368416531967
7,Crude_Oil,-3.598373216719659,19.0608506455361,22.659223862255757
7,Natural_Gas,-4.245843636402773,8.28651791727755,12.532361553680325
7,Gold,-6.945247255917626,14.338350631717189,21.283597887634823
8,S&P_500,3.310501146334404,33.43333583022439,30.122834683889987
8,IEF,0.9835177686065314,15.394488630315575,14.410970861709043
8,PBW,0.18454491269980242,27.76998542758586,27.585440514886052
8,Wheat,-0.03903611684876436,8.00918283309967,8.048218949948438
8,Crude_Oil,-0.26961023859942196,17.053297379637304,17.32290761823673
8,Natural_Gas,-0.8488948931212096,2.7596599936417645,3.608554886762974
8,Gold,-3.3210225790713355,11.585687287938697,14.90670986701003
9,PBW,5.417340688123013,44.241875376790844,38.82453468866784
9,S&P_500,4.353066521881828,43.64973380174973,39.296667279867904
9,Gold,-0.28767336549777245,26.241396662018463,26.52907002751624
9,Crude_Oil,-0.8037922235610623,19.703350627550535,20.5071428511116
9,IEF,-2.084985555360594,19.878665322962387,21.96365087832298
9,Natural_Gas,-2.202762901113318,7.8888065425507445,10.091569443664062
9,Wheat,-4.391193164472089,10.493969567365525,14.885162731837616
10,PBW,2.7685209410556726,35.15155026588242,32.38302932482674
10,IEF,0.8190114700298711,19.8087341212713,18.989722651241433
10,S&P_500,0.708884161651472,30.27694626931593,29.568062107664453
10,Crude_Oil,-0.1579656730594688,9.859511625263139,10.017477298322609
10,Natural_Gas,-0.7332112552633039,3.509518914257544,4.242730169520848
10,Gold,-1.6961184390452366,15.257562785542872,16.95368122458811
10,Wheat,-1.7091212053690075,2.575401259191947,4.284522464560954
