Segment,Type,Rank,Asset,NetMean
1,Top Transmitter,1,PBW,4.550649497282902
1,Top Transmitter,2,Crude_Oil,2.4024605574799196
1,Top Transmitter,3,S&P_500,1.7851657667798682
1,Top Receiver,1,Natural_Gas,-1.3998711828161958
1,Top Receiver,2,Wheat,-1.51648934675456
1,Top Receiver,3,Gold,-5.751677117661228
2,Top Transmitter,1,Crude_Oil,6.4614478517072484
2,Top Transmitter,2,PBW,3.332706404601645
2,Top Transmitter,3,Gold,1.6192455533303982
2,Top Receiver,1,Natural_Gas,-2.2484818110677103
2,Top Receiver,2,Wheat,-2.2681765671772096
2,Top Receiver,3,IEF,-8.452291340557581
3,Top Transmitter,1,S&P_500,13.003116236511003
3,Top Transmitter,2,PBW,8.161100623730391
3,Top Transmitter,3,Crude_Oil,1.8958212503599534
3,Top Receiver,1,Wheat,-5.188702044628971
3,Top Receiver,2,Gold,-6.168667824804596
3,Top Receiver,3,IEF,-7.535315120641565
4,Top Transmitter,1,S&P_500,4.844662797998044
4,Top Transmitter,2,PBW,2.5350733161895875
4,Top Transmitter,3,Natural_Gas,0.011549311446289639
4,Top Receiver,1,Wheat,-1.8682591416013157
4,Top Receiver,2,IEF,-2.094437292891777
4,Top Receiver,3,Gold,-2.4176843383910183
5,Top Transmitter,1,S&P_500,8.029715753210253
5,Top Transmitter,2,PBW,4.036364508057882
5,Top Transmitter,3,IEF,0.15652422231753907
5,Top Receiver,1,Natural_Gas,-2.3122327794313735
5,Top Receiver,2,Crude_Oil,-3.470879121307717
5,Top Receiver,3,Gold,-4.4224904637743245
6,Top Transmitter,1,S&P_500,5.502261712642825
6,Top Transmitter,2,PBW,3.0986820964565744
6,Top Transmitter,3,IEF,-0.8229616482423467
6,Top Receiver,1,Natural_Gas,-1.3236223680524803
6,Top Receiver,2,Wheat,-1.915178301373789
6,Top Receiver,3,Crude_Oil,-3.609504766714868
7,Top Transmitter,1,S&P_500,13.302571025704593
7,Top Transmitter,2,PBW,3.7279025974665037
7,Top Transmitter,3,IEF,0.313978664533273
7,Top Receiver,1,Crude_Oil,-3.598373216719659
7,Top Receiver,2,Natural_Gas,-4.245843636402773
7,Top Receiver,3,Gold,-6.945247255917626
8,Top Transmitter,1,S&P_500,3.310501146334404
8,Top Transmitter,2,IEF,0.9835177686065314
8,Top Transmitter,3,PBW,0.18454491269980242
8,Top Receiver,1,Crude_Oil,-0.26961023859942196
8,Top Receiver,2,Natural_Gas,-0.8488948931212096
8,Top Receiver,3,Gold,-3.3210225790713355
9,Top Transmitter,1,PBW,5.417340688123013
9,Top Transmitter,2,S&P_500,4.353066521881828
9,Top Transmitter,3,Gold,-0.28767336549777245
9,Top Receiver,1,IEF,-2.084985555360594
9,Top Receiver,2,Natural_Gas,-2.202762901113318
9,Top Receiver,3,Wheat,-4.391193164472089
10,Top Transmitter,1,PBW,2.7685209410556726
10,Top Transmitter,2,IEF,0.8190114700298711
10,Top Transmitter,3,S&P_500,0.708884161651472
10,Top Receiver,1,Natural_Gas,-0.7332112552633039
10,Top Receiver,2,Gold,-1.6961184390452366
10,Top Receiver,3,Wheat,-1.7091212053690075
